appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime
10,1,0,0,124534,3339,17612,317
20,1,0,0,3318,633,277,62
30,1,0,0,3416,398,187,34
40,1,0,0,1273,267,258,184
50,1,0,0,5250,288,624,415
60,1,0,0,2758,684,175,10
70,1,0,0,27755,1100,1300,83
80,1,0,0,12120,1439,427,43
130,1,0,0,3822,420,361,205
220,1,0,33,67902,2419,691,402
240,1,0,147,76640,3497,6842,400
280,1,0,0,3767,1053,190,214
300,1,0,54,10489,1210,1356,134
320,1,0,0,6020,787,311,32
340,1,0,0,5783,1020,46,29
360,1,0,0,1362,473,102,81
380,1,0,13,7908,517,281,184
400,1,0,15,51801,1080,288,137
420,1,0,22,13902,696,354,301
440,1,0,520,515879,34036,8495,623
500,1,0,73,17951,948,897,278
550,1,0,70,251789,8418,1615,566
570,1,0,0,863507,142079,23944,801
620,1,0,51,138220,1891,1102,520
630,1,0,66,17435,941,371,83
730,1,0,167,2644404,402313,22494,6502
1002,1,0,0,40,17,0,0
1200,1,0,44,1562,223,232,258
1250,1,0,285,53710,2649,1328,306
1300,1,0,0,468,61,0,0
1500,1,0,0,472,158,182,273
1510,1,0,0,1602,152,65,77
1520,1,0,22,2057,344,80,119
1530,1,0,12,368,75,121,224
1600,1,0,0,140,44,0,0
1610,1,0,0,112,26,0,0
1630,1,0,0,451,108,0,0
1640,1,0,0,490,152,9,12
1670,1,0,0,137,102,0,0
1690,1,0,0,191,85,35,35
1700,1,0,0,671,106,11,21
1840,1,0,0,15083,1111,239,77
1900,1,0,0,498,238,405,414
1930,1,0,0,2656,1055,484,422
2100,1,0,0,4386,316,634,700
2200,1,0,0,1362,66,123,103
2210,1,18,0,891,171,36,32
2270,1,0,0,1773,87,69,110
2280,1,0,0,3705,257,125,179
2290,1,0,0,573,82,120,114
2300,1,0,0,2517,182,90,78
2310,1,0,0,2618,136,167,189
2320,1,0,0,1369,107,291,349
2330,1,0,0,65,12,32,32
2340,1,0,0,54,33,1,1
2350,1,0,0,108,31,0,0
2360,1,0,0,249,26,50,50
2370,1,0,0,57,20,0,0
2390,1,0,0,417,29,0,0
2400,1,0,0,4819,792,233,239
2450,1,0,12,662,204,193,193
2500,1,0,0,973,248,186,258
2520,1,0,0,52,46,0,0
2590,1,0,0,610,523,0,0
2600,1,0,0,6161,362,350,202
2610,1,0,0,740,87,462,889
2620,1,0,0,1555,117,545,849
2630,1,0,0,2434,236,750,1041
2640,1,0,0,490,97,0,0
2710,1,0,0,180,33,0,0
2720,1,0,0,31,9,0,0
2780,1,0,0,145,77,0,0
2800,1,0,0,212,50,732,732
2810,1,0,0,282,113,831,1232
2820,1,0,33,1633,272,972,1273
2840,1,0,0,142,48,648,648
2850,1,0,0,57,18,13,13
2870,1,0,69,2832,4032,1744,3386
2900,1,0,0,52,17,0,0
2910,1,0,0,127,31,0,0
2920,1,0,0,33,14,0,0
2990,1,0,0,5438,343,293,351
3010,1,0,0,139,39,939,939
3020,1,0,0,793,198,46,60
3050,1,0,0,71,36,0,0
3130,1,0,0,294,69,0,0
3170,1,0,0,482,53,1422,1429
3230,1,0,0,30,94,0,0
3260,1,0,0,256,172,1,1
3270,1,0,0,429,137,270,270
3330,1,0,0,437,37,267,267
3410,1,0,0,71,28,0,0
3480,1,0,0,1106,66,214,254
3483,1,0,0,707,58,1,1
3490,1,0,0,10,2,0,0
3500,1,0,0,10,3,0,0
3510,1,0,0,21,8,0,0
3520,1,0,0,11,5,0,0
3530,1,0,0,23,7,0,0
3540,1,0,0,368,24,237,237
3560,1,0,0,98,18,0,0
3570,1,0,0,8,5,0,0
3580,1,0,0,15,3,0,0
3590,1,0,21,14630,454,480,374
3600,1,0,0,97,57,0,0
3610,1,0,0,8,3,0,0
3620,1,0,14,435,28,0,0
3700,1,0,0,1181,377,262,371
3710,1,0,0,559,79,8,8
3720,1,0,0,1847,95,287,318
3730,1,0,0,1434,219,20,24
3800,1,0,0,260,71,0,0
3810,1,0,0,369,110,111,111
3820,1,0,0,259,103,771,771
3830,1,0,37,8204,456,491,232
3900,1,0,0,1394,129,49,64
3910,1,0,0,2578,405,1166,13
3920,1,0,0,2641,193,296,436
3960,1,0,0,39,49,0,0
3980,1,0,0,184,65,0,0
3990,1,0,0,121,20,0,0
4000,1,0,29,363721,16433,12422,1875
4100,1,0,0,4,5,0,0
4230,1,0,0,119,43,0,0
4290,1,0,0,4,2,0,0
4300,1,0,0,43,14,78,78
4420,1,0,0,57,36,0,0
4460,1,0,0,77,41,0,0
4470,1,0,0,31,17,0,0
4500,1,0,0,11039,570,493,360
4520,1,0,0,106,60,124,244
4530,1,0,0,76,38,1,1
4560,1,18,0,4772,320,175,186
4570,1,16,0,3485,206,309,340
4580,1,16,0,2849,133,543,620
4700,1,0,0,10270,605,469,361
4720,1,18,0,1243,221,312,312
4760,1,0,0,7806,562,897,1192
4770,1,0,0,331,131,33,33
4780,1,0,0,585,30,0,0
4800,1,0,0,259,46,0,0
4850,1,0,0,1081,143,1134,1208
4870,1,0,0,102,22,0,0
4880,1,0,0,170,66,1,1
4890,1,0,0,246,138,71,71
4900,1,0,0,122,17,0,0
4920,1,0,67,8372,1498,627,253
6000,1,0,0,6392,379,369,265
6010,1,0,0,597,31,419,804
6020,1,0,0,5684,330,1254,174
6030,1,0,0,2020,219,127,180
6040,1,0,0,575,55,801,801
6060,1,0,0,29149,2425,618,320
6080,1,0,0,272,38,17,17
6090,1,0,0,115,18,100,100
6120,1,0,12,1749,227,255,363
6200,1,0,0,1025,164,21,21
6210,1,0,0,91,33,0,0
6220,1,0,0,1977,186,78,96
6250,1,0,0,460,107,0,0
6270,1,0,0,77,100,0,0
6300,1,0,0,588,89,20,20
6310,1,0,0,1152,102,14,19
6370,1,0,0,1365,226,70,102
6400,1,0,0,100,15,0,0
6420,1,0,0,474,90,0,0
6510,1,0,0,569,178,74,74
6550,1,0,0,1462,1052,90,90
6800,1,0,0,1561,213,63,70
6810,1,0,0,404,71,12,14
6830,1,0,0,1333,238,201,302
6840,1,0,0,421,265,14,20
6850,1,16,0,1514,260,63,58
6860,1,18,0,5864,391,435,365
6870,1,0,0,316,113,0,0
6880,1,16,0,1732,846,20,25
6900,1,18,0,1186,450,62,43
6910,1,16,0,6242,347,324,245
6920,1,16,0,649,433,24,31
6980,1,0,0,1135,210,254,368
7000,1,16,0,1656,243,714,725
7010,1,0,0,175,61,0,0
7020,1,0,0,248,15,0,0
7110,1,0,0,809,279,0,0
7200,1,0,0,963,55,4774,4774
7210,1,0,0,236,90,14,14
7220,1,0,0,86,65,0,0
7260,1,0,0,69,54,0,0
7340,1,0,0,8,4,0,0
7510,1,0,0,1566,981,313,341
7520,1,0,61,3054,2051,327,403
7530,1,0,0,153,194,320,330
7600,1,0,0,1114,570,165,253
7610,1,0,0,355,153,46,46
7620,1,0,0,420,82,1244,1261
7650,1,0,0,385,32,66,82
7660,1,0,0,417,53,18,18
7730,1,0,0,57,54,0,0
7760,1,0,0,2165,136,2235,2224
